source,date,text,compound,positive,negative,neutral,ind
CBS,Mon Aug 06 00:07:38 +0000 2018,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,0.5411,0.219,0.098,0.683,25
CBS,Mon Aug 06 00:02:58 +0000 2018,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,0.3818,0.106,0.0,0.894,26
CBS,Mon Aug 06 00:02:02 +0000 2018,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,0.5093,0.155,0.0,0.845,27
CBS,Sun Aug 05 23:58:41 +0000 2018,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",0.0,0.0,0.0,1.0,28
CBS,Sun Aug 05 23:44:39 +0000 2018,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",0.8316,0.306,0.0,0.694,29
CBS,Sun Aug 05 23:41:21 +0000 2018,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",0.0,0.0,0.0,1.0,30
CBS,Sun Aug 05 23:35:49 +0000 2018,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",0.5994,0.157,0.0,0.843,31
CBS,Sun Aug 05 23:35:46 +0000 2018,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,0.0,0.0,0.0,1.0,32
CBS,Sun Aug 05 23:16:25 +0000 2018,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,0.5826,0.173,0.0,0.827,33
CBS,Sun Aug 05 23:12:39 +0000 2018,"RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",-0.5093,0.0,0.202,0.798,34
CBS,Sun Aug 05 23:10:20 +0000 2018,"RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",0.0,0.0,0.0,1.0,35
CBS,Sun Aug 05 23:05:58 +0000 2018,"RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",0.6041,0.225,0.0,0.775,36
CBS,Sun Aug 05 23:01:25 +0000 2018,"RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",0.3802,0.147,0.0,0.853,37
CBS,Sun Aug 05 22:58:41 +0000 2018,"RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",-0.2057,0.0,0.083,0.917,38
CBS,Sun Aug 05 22:58:36 +0000 2018,RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,0.0,0.0,0.0,1.0,39
CBS,Sun Aug 05 22:53:12 +0000 2018,"RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",-0.0572,0.0,0.064,0.936,40
CBS,Sun Aug 05 22:52:24 +0000 2018,"RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",-0.3612,0.059,0.121,0.82,41
CBS,Sun Aug 05 22:49:06 +0000 2018,"RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",0.4939,0.138,0.0,0.862,42
CBS,Sun Aug 05 22:46:49 +0000 2018,RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,0.0,0.0,0.0,1.0,43
CBS,Sun Aug 05 22:32:37 +0000 2018,RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,0.4926,0.175,0.0,0.825,44
CBS,Sun Aug 05 22:32:30 +0000 2018,"RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",0.2732,0.123,0.0,0.877,45
CBS,Sun Aug 05 22:16:36 +0000 2018,RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,0.2716,0.095,0.0,0.905,46
CBS,Sun Aug 05 22:16:29 +0000 2018,"RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",-0.4973,0.0,0.133,0.867,47
CBS,Sun Aug 05 22:16:19 +0000 2018,RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,0.0,0.0,0.0,1.0,48
CBS,Sun Aug 05 22:05:44 +0000 2018,"RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",-0.4019,0.0,0.114,0.886,49
CBS,Sun Aug 05 22:00:47 +0000 2018,"RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",-0.6908,0.0,0.207,0.793,50
CBS,Sun Aug 05 21:48:41 +0000 2018,RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,0.0,0.0,0.0,1.0,51
CBS,Sun Aug 05 21:48:36 +0000 2018,"RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",0.8555,0.286,0.0,0.714,52
CBS,Sun Aug 05 21:48:29 +0000 2018,RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,0.5994,0.234,0.0,0.766,53
CBS,Sun Aug 05 21:31:15 +0000 2018,"RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",0.6124,0.208,0.0,0.792,54
CBS,Sun Aug 05 20:58:52 +0000 2018,"RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",-0.2748,0.105,0.153,0.742,55
CBS,Sun Aug 05 20:56:17 +0000 2018,"RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",0.0,0.0,0.0,1.0,56
CBS,Sun Aug 05 20:10:33 +0000 2018,"RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",-0.4588,0.0,0.125,0.875,57
CBS,Sun Aug 05 19:43:38 +0000 2018,Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,0.0,0.0,0.0,1.0,58
CBS,Sun Aug 05 19:22:22 +0000 2018,"RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",0.0,0.0,0.0,1.0,59
CBS,Sun Aug 05 19:21:28 +0000 2018,"RT @TheNeighborhood: ""Once we shot the pilot, we knew that we had a great show."" -@CedEntertainer #TheNeighborhood #CBS",0.6249,0.204,0.0,0.796,60
CBS,Sun Aug 05 19:16:45 +0000 2018,"RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",0.1384,0.098,0.079,0.823,61
CBS,Sun Aug 05 19:15:53 +0000 2018,"RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",0.0,0.0,0.0,1.0,62
CBS,Sun Aug 05 18:54:24 +0000 2018,"RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",0.4588,0.182,0.0,0.818,63
CBS,Sun Aug 05 18:01:09 +0000 2018,RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,0.0,0.0,0.0,1.0,64
CBS,Sun Aug 05 17:55:07 +0000 2018,"RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",0.0,0.0,0.0,1.0,65
CBS,Sun Aug 05 17:51:13 +0000 2018,"RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",0.0,0.0,0.0,1.0,66
CBS,Sun Aug 05 17:47:01 +0000 2018,RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,0.0,0.0,0.0,1.0,67
CBS,Sun Aug 05 17:39:48 +0000 2018,"RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",-0.0018,0.073,0.074,0.853,68
CBS,Sun Aug 05 17:28:37 +0000 2018,"Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",0.0,0.0,0.0,1.0,69
CBS,Sun Aug 05 17:28:03 +0000 2018,"RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",-0.0602,0.182,0.219,0.599,70
CBS,Sun Aug 05 17:27:46 +0000 2018,"RT @FBICBS: What's it like for @JeremySisto coming back to a Dick Wolf show?

""It's one of the most stable ships you can be on... It's exci…",0.1761,0.16,0.105,0.735,71
CBS,Sun Aug 05 17:27:41 +0000 2018,"RT @FBICBS: ""We're celebrating the troops on the ground... There are endless stories in there."" - Dick Wolf on why he wanted to focus the s…",0.1027,0.123,0.11,0.767,72
CBS,Sun Aug 05 17:27:31 +0000 2018,"RT @FBICBS: “It’s really exciting to be here for the first time in a long, long, long, long time.” - Dick Wolf #CBS #TCA18",0.0498,0.13,0.123,0.746,73
CBS,Sun Aug 05 14:47:12 +0000 2018,Celebrate #NationalSistersDay with an iconic group of sisters! Watch how these three became part of The Brady Bunch… https://t.co/nBVjxl4AbP,0.6114,0.182,0.0,0.818,74
CBS,Sat Aug 04 22:57:37 +0000 2018,RT @startrekcbs: Executive Producer Alex Kurtzman and @SirPatStew surprised fans today at #STLV with news that he will be returning to the…,0.2263,0.083,0.0,0.917,75
CBS,Sat Aug 04 00:24:55 +0000 2018,Watching a 💯 spin on @PriceIsRight never gets old…especially when it’s Mila Kunis! https://t.co/NPOukc3jPz,0.0,0.0,0.0,1.0,76
CBS,Fri Aug 03 22:34:08 +0000 2018,"RT @TrueCrimeCBS: The chances of successfully blowing the whistle are slim, but did a Wells Fargo personal banker beat the odds?

Find out…",0.6124,0.24,0.0,0.76,77
CBS,Tue Jul 31 21:02:33 +0000 2018,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,0.9098,0.469,0.0,0.531,78
CBS,Sat Jul 28 16:43:56 +0000 2018,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",0.34,0.124,0.0,0.876,79
CBS,Wed Jul 25 17:25:36 +0000 2018,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",0.5707,0.187,0.0,0.813,80
CBS,Wed Jul 25 15:12:31 +0000 2018,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",0.0,0.0,0.0,1.0,81
CBS,Wed Jul 25 01:05:03 +0000 2018,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,0.34,0.118,0.0,0.882,82
CBS,Tue Jul 24 18:54:14 +0000 2018,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",-0.1511,0.068,0.099,0.834,83
CBS,Mon Jul 23 21:30:33 +0000 2018,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,0.8293,0.34,0.0,0.66,84
CBS,Sun Jul 22 01:56:13 +0000 2018,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,0.128,0.073,0.0,0.927,85
CBS,Sat Jul 21 00:55:28 +0000 2018,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,-0.296,0.0,0.109,0.891,86
CBS,Sat Jul 21 00:19:12 +0000 2018,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,-0.296,0.0,0.109,0.891,87
CBS,Sat Jul 21 00:10:00 +0000 2018,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",-0.7964,0.0,0.264,0.736,88
CBS,Fri Jul 20 23:44:54 +0000 2018,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,-0.6597,0.0,0.18,0.82,89
CBS,Fri Jul 20 22:29:36 +0000 2018,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",0.3182,0.095,0.0,0.905,90
CBS,Fri Jul 20 21:39:09 +0000 2018,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,0.0,0.0,0.0,1.0,91
CBS,Fri Jul 20 15:08:23 +0000 2018,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",0.0,0.0,0.0,1.0,92
CBS,Tue Jul 17 17:55:25 +0000 2018,🤰👩‍👧🚫🍸 #WorldEmojiDay,0.0,0.0,0.0,1.0,93
CBS,Tue Jul 17 17:22:29 +0000 2018,👨📝✔️ #WorldEmojiDay,0.0,0.0,0.0,1.0,94
CBS,Tue Jul 17 17:22:29 +0000 2018,👩‍💼💼🇺🇸 #WorldEmojiDay,0.0,0.0,0.0,1.0,95
CBS,Tue Jul 17 17:22:29 +0000 2018,🕵️🕵️‍♀️ #WorldEmojiDay,0.0,0.0,0.0,1.0,96
CBS,Tue Jul 17 17:22:29 +0000 2018,⚓️🦅🇺🇸 #WorldEmojiDay,0.0,0.0,0.0,1.0,97
CBS,Tue Jul 17 17:22:29 +0000 2018,🏄🌴🚔 #WorldEmojiDay,0.0,0.0,0.0,1.0,98
CBS,Tue Jul 17 17:22:28 +0000 2018,💙👮🍽 #WorldEmojiDay,0.0,0.0,0.0,1.0,99
CNN,Wed Sep 05 13:30:04 +0000 2018,"A man crashed a truck into the building that houses KDFW in Dallas early Wednesday morning, according to CNN affili… https://t.co/8zrTw9ntUf",0.0,0.0,0.0,1.0,0
CNN,Wed Sep 05 13:20:07 +0000 2018,The mother of a missing toddler who was the subject of an Amber Alert on Monday is now accused of his murder https://t.co/SjHiyyn7Lx,-0.7845,0.075,0.311,0.614,1
CNN,Wed Sep 05 13:09:33 +0000 2018,FDA again warns consumers not to eat Honey Smacks cereal due to a salmonella outbreak. 130 people have become ill s… https://t.co/CuqvvrFyVD,-0.4939,0.0,0.181,0.819,2
CNN,Wed Sep 05 12:53:32 +0000 2018,"""We won? We won?""

This is the moment Ayanna Pressley learned she won a primary race in Massachusetts, defeating a… https://t.co/kA7kt9jLkU",0.7319,0.284,0.095,0.621,3
CNN,Wed Sep 05 12:43:18 +0000 2018,"Theranos, the Silicon Valley startup whose founder faces fraud charges, is preparing to wind down its business https://t.co/xW9pUfnvQn",-0.7096,0.0,0.269,0.731,4
CNN,Wed Sep 05 12:30:10 +0000 2018,"Schools in the United States now have more security guards than social workers, according to a new study… https://t.co/0hhitMSnaD",0.6697,0.256,0.0,0.744,5
CNN,Wed Sep 05 12:25:15 +0000 2018,The real reason Bob Woodward's book is so damaging for Trump | Analysis by @CillizzaCNN https://t.co/vOrHiyjVcD https://t.co/wk5NVFmVWW,-0.6418,0.0,0.22,0.78,6
CNN,Wed Sep 05 12:12:03 +0000 2018,Special counsel Robert Mueller's prosecutors have responded to the latest proposal from President Trump's legal tea… https://t.co/EIYFl8YLCJ,0.4939,0.219,0.0,0.781,7
CNN,Wed Sep 05 12:09:12 +0000 2018,"RT @CNNMoney: Summer's over. Now investors have to get ready for a rough fall. 

Darius Dale, managing director at Hedgeye Risk Management,…",0.1027,0.106,0.089,0.805,8
CNN,Wed Sep 05 12:00:06 +0000 2018,A former Philadelphia police officer who shot and killed a man as he ran away after a traffic stop was charged in t… https://t.co/a9gIfZEKSG,-0.8176,0.0,0.321,0.679,9
CNN,Wed Sep 05 11:50:07 +0000 2018,Amazon CEO Jeff Bezos just donated $10 million to a group that helps veterans get elected https://t.co/dgDqYLGfNL https://t.co/dj382eRaAe,0.5106,0.223,0.0,0.777,10
CNN,Wed Sep 05 11:40:06 +0000 2018,What the history of overruled Supreme Court cases means for Roe v. Wade https://t.co/pFpOqgOHxX https://t.co/TGWj6Zof08,0.5574,0.205,0.0,0.795,11
CNN,Wed Sep 05 11:30:03 +0000 2018,You can now get kicked off Uber in Australia for being rude to drivers https://t.co/QDtrZXltiD https://t.co/XZBuHCudIC,-0.4588,0.0,0.167,0.833,12
CNN,Wed Sep 05 11:23:03 +0000 2018,"5 things for Wednesday:

- White House
- Supreme Court confirmation hearing
- Politics
- Tropical weather
- Inactiv… https://t.co/zGU5e5PwtI",0.5574,0.217,0.0,0.783,13
CNN,Wed Sep 05 11:13:46 +0000 2018,Toyota is recalling 1 million hybrid vehicles worldwide over a potential risk of catching fire… https://t.co/6n5oLJPyF6,-0.2732,0.0,0.139,0.861,14
CNN,Wed Sep 05 10:55:01 +0000 2018,These vintage photos reveal the magical origin story of Disneyland https://t.co/Tb3JjVdeHx https://t.co/iLxpKeuajh,0.0,0.0,0.0,1.0,15
CNN,Wed Sep 05 10:40:03 +0000 2018,The Justice Department has launched an investigation into the FBI's handling of sexual abuse allegations against fo… https://t.co/yPa86wN8Tv,-0.0772,0.203,0.174,0.622,16
CNN,Wed Sep 05 10:30:59 +0000 2018,"Trump's approval rating drop looks real, and it could be a disaster for the GOP in 2018 | Analysis by… https://t.co/byYIKjdVGi",-0.4767,0.123,0.245,0.632,17
CNN,Wed Sep 05 10:19:55 +0000 2018,"""We won? We won?""

This is the moment Ayanna Pressley learned she had won the House primary in Massachusetts, becom… https://t.co/FeyoyQ0Q35",0.8299,0.29,0.0,0.71,18
CNN,Wed Sep 05 10:11:17 +0000 2018,"Nearly 4 million children in the UK live in households that struggle to afford fruit, vegetables and other foods co… https://t.co/bnuXn8Tqbh",-0.3182,0.0,0.108,0.892,19
CNN,Wed Sep 05 09:55:44 +0000 2018,A former Philadelphia police officer who shot and killed a man as he ran away after a traffic stop was charged in t… https://t.co/v8fY7Basgt,-0.8176,0.0,0.321,0.679,20
CNN,Wed Sep 05 09:51:20 +0000 2018,"If the election for President were held today, only 36% of likely 2018 voters said that they would definitely vote… https://t.co/bN0lXBdBcJ",0.4019,0.119,0.0,0.881,21
CNN,Wed Sep 05 09:21:30 +0000 2018,"Protesters dressed as characters from ""The Handmaid's Tale"" sent a silent message at Brett Kavanaugh's Supreme Cour… https://t.co/tlQ3EEREIv",0.4019,0.176,0.093,0.732,22
CNN,Wed Sep 05 08:51:32 +0000 2018,"The mayor of the town of Cebu was killed on Wednesday, two months after two other town mayors were shot in other pa… https://t.co/vA2A3y74yV",-0.6705,0.0,0.164,0.836,23
CNN,Wed Sep 05 08:36:00 +0000 2018,His public stance on climate change is in opposition to near universally accepted science. https://t.co/gAysushVmQ,0.2732,0.13,0.0,0.87,24
CNN,Wed Sep 05 08:24:48 +0000 2018,"Theranos, the Silicon Valley startup whose founder faces fraud charges, is preparing to wind down its business https://t.co/thDLv6ZM6v",-0.7096,0.0,0.269,0.731,25
CNN,Wed Sep 05 08:14:44 +0000 2018,10 pubs you need to visit in London https://t.co/9ytFew8gH7 https://t.co/cgDqt7Iq1D,0.0,0.0,0.0,1.0,26
CNN,Wed Sep 05 08:07:13 +0000 2018,"Monica Lewinsky walking off stage was an act of self-preservation and self-respect, writes Jill Filipovic for… https://t.co/aXvLmz8aui",0.0,0.0,0.0,1.0,27
CNN,Wed Sep 05 08:01:02 +0000 2018,Nike's decision to use Colin Kaepernick as the face of its latest advertising campaign has some sports fans destroy… https://t.co/lC79Q0olu6,0.0,0.0,0.0,1.0,28
CNN,Wed Sep 05 07:53:39 +0000 2018,"In one corner is Bobi Wine, affectionately known in Uganda as ""the Ghetto President."" In the other is the real Pres… https://t.co/Mtdva6bYOn",0.4939,0.132,0.0,0.868,29
CNN,Wed Sep 05 07:46:05 +0000 2018,"Colin Kaepernick sells, Nike has calculated https://t.co/pPekHDdYML",0.0,0.0,0.0,1.0,30
CNN,Wed Sep 05 07:38:40 +0000 2018,These vintage photos reveal the magical origin story of Disneyland https://t.co/vHItirN1zx https://t.co/h6ucFUabaG,0.0,0.0,0.0,1.0,31
CNN,Wed Sep 05 07:31:05 +0000 2018,Bob Woodward's peek behind the Trump curtain is 100% as terrifying as we feared | Analysis by @CillizzaCNN… https://t.co/idmB3ohkQO,-0.7845,0.0,0.301,0.699,32
CNN,Wed Sep 05 07:22:08 +0000 2018,"President Trump called Bob Woodward on August 14, alarmed that the veteran journalist was publishing a new book on… https://t.co/HB5T1vVvRL",-0.34,0.0,0.118,0.882,33
CNN,Wed Sep 05 07:14:05 +0000 2018,"President Trump's closest aides stole papers off his desk to stop what they saw as his most dangerous impulses, Bob… https://t.co/CTHV7zDv1z",-0.6801,0.0,0.227,0.773,34
CNN,Wed Sep 05 07:02:05 +0000 2018,"President Trump said clean-up after his Charlottesville comments was the ""biggest f---ing mistake I've made,"" accor… https://t.co/vmqumAonkL",-0.34,0.0,0.13,0.87,35
CNN,Wed Sep 05 07:01:00 +0000 2018,"Painstaking work goes into carving these massive sand sculptures, which can weigh 15,000 pounds. Artists explain th… https://t.co/WtLpTpAtZS",0.0,0.0,0.0,1.0,36
CNN,Wed Sep 05 06:51:06 +0000 2018,The real reason Bob Woodward's book is so damaging for Trump | Analysis by @CillizzaCNN https://t.co/sj2GmIwhQU https://t.co/3TQxOe490g,-0.6418,0.0,0.22,0.78,37
CNN,Wed Sep 05 06:42:08 +0000 2018,Executives from Facebook and Twitter will appear at hearings on Capitol Hill today https://t.co/RV9qBjMTgV,0.0,0.0,0.0,1.0,38
CNN,Wed Sep 05 06:31:02 +0000 2018,The largest nail manufacturer in the United States continues to lay off workers as it fights against crippling stee… https://t.co/ACgFSLvNYv,0.0258,0.119,0.115,0.766,39
CNN,Wed Sep 05 06:19:02 +0000 2018,"If Bob Woodward is right, the United States and the world face an imminent, dangerous emergency, writes @stcollinson https://t.co/t4NsjBqwo8",-0.4404,0.114,0.233,0.653,40
CNN,Wed Sep 05 06:16:00 +0000 2018,"Amazon is officially a $1 trillion company. Less than a year ago, it was worth half of what it is now.… https://t.co/842p3SW3uE",0.3818,0.167,0.0,0.833,41
CNN,Wed Sep 05 06:09:01 +0000 2018,"The parents of a Penn State University student, who died in a hazing ritual while pledging for Beta Theta Pi frater… https://t.co/4ha5V4uXLj",-0.5574,0.0,0.159,0.841,42
CNN,Wed Sep 05 06:01:06 +0000 2018,"President Trump's lawyer warned him of an ""orange jump suit"" if he testifies to Robert Mueller, according to a new… https://t.co/cvUjvgXruo",-0.2732,0.0,0.1,0.9,43
CNN,Wed Sep 05 05:50:50 +0000 2018,"Richard Liu, the billionaire founder and CEO of Chinese tech company https://t.co/Ij1jEiHRBJ, was arrested last wee… https://t.co/xgnGX6lxli",-0.4767,0.0,0.162,0.838,44
CNN,Wed Sep 05 05:46:00 +0000 2018,"There's no place like home. A pair of ruby slippers Judy Garland wore in ""The Wizard of Oz"" were found 13 years aft… https://t.co/xlmZN8gioV",0.0772,0.097,0.086,0.817,45
CNN,Wed Sep 05 05:31:03 +0000 2018,"How Nike's ""Just do it"" became a slogan about activism, too https://t.co/EPksxwv6nM https://t.co/hlqE28oG2u",0.0,0.0,0.0,1.0,46
